conversation_id,customer_msg,support_reply,pair_id,intent_label,should_escalate,escalation_reason,label_method
00523c6c562a82566c5f1d64852531a5,Explain why switched my song from Lil Wayne to this....,Hey there! Thanks for the feedback. We’ll make sure to give our devs a nudge on this right away /MT,sp_006981,other,True,unclassified_intent,rule_based_v1
0232125f74d9e90685fbdff96f960ecc,😐 Know what? I'm getting a bit leary of putting my $ down for premium . if it's going to keep CUTTING OUT on me when it shouldn't 😠,"Hey CAPT, that doesn't sound fun! What device and Spotify version are you using? We'll do our best to help you out /BH",sp_001909,billing_subscription,False,none,rule_based_v1
023c8488217d50094c12dab0536e61df,Yo why is my podcast stopping early and won't continue the episode??,"Hey there, calvary's here! Does logging out &gt; restarting the device &gt; logging back in help? Let us know how it goes /TX",sp_034363,playback_technical,False,none,rule_based_v1
0370ca5dd22fc298d9998756b73a6fd4,"Hi, my account is not premium any more even though It should be renewed on a student account this month, any help?",Hey there! That's not cool. Could you DM us your account's username or email address? We'll take a look backstage /GU,sp_000661,billing_subscription,False,none,rule_based_v1
03d71d86d94c54dadad056381e456c2f,Me too. me and Jeffrey had a brief rant on the phone about this. y’all are getting ready to receive a very angry email from me. I demand free premium for life or I’m switching to Apple Music.,"Hi Jeffrey! Sometimes content is temporarily removed due to licensing, but we hope to have it back soon: Hope this info helps /GK",sp_026754,billing_subscription,False,none,rule_based_v1
04fe1b425f4c43c735f1873d385b5f5b,Wala pang reputation sa Spotify 😶😶😶,"2: it soon, but there's info about Spotify content here: /JN",sp_022781,other,True,unclassified_intent,rule_based_v1
05ba9fcabd45ac0d4bea5be1243e217f,The spotify app keeps crashing on launch on my oneplus 5??,Hi Ville! Are you getting any error messages? What Android and Spotify versions are you using right now? We'll see what we can suggest /LP,sp_035508,playback_technical,False,none,rule_based_v1
05be809badb3860017c64c5fded3acc6,Someone has just accessed my account and changed the account email to one I do not recognize. Can you help?,"Hey Chris, we've just sent a DM your way. Let's carry on chatting there 🙂 /CG",sp_001969,account_access,True,account_security,rule_based_v1
062bf472bc78339e85df0e3e51ed7fe5,hey guys. can you help me with a billing question or send me a number where i can get an answer please?,Hey! We've just replied to your DM. Let's continue chatting there /JL,sp_020055,billing_subscription,False,none,rule_based_v1
06f279e6a9b4f7b980353bcf9604c3ae,are you looking to fix your app anytime soon? I cancelled with Napster to switch to you but I just started and it’s horrible. app won’t load a thing.,Hey Justin! Everything should be running smoothly now. Let us know if you're still getting issues /GS,sp_033631,billing_subscription,False,none,rule_based_v1
